;Albania ;Andorra ;Armenia ;Austria;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina ;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia;Germany ;Greece ;Hungary ;Iceland ;Ireland ;Israel ;Latvia ;Lithuania ;Macedonia ;Malta ;Moldova ;Monaco;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;Russia ;San Marino;Serbia ;Serbia & Montenegro;Slovakia ;Slovenia ;Spain ;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom 
Moldova ;0.000000000000000000e+00;nan;2,75E+18;nan;9,00E+18;1,00E+19;nan;1,00E+18;3,00E+18;5,00E+17;0.000000000000000000e+00;nan;1,25E+18;7,00E+18;1,50E+18;0.000000000000000000e+00;3,50E+18;4,00E+17;3,00E+18;0.000000000000000000e+00;1,50E+18;0.000000000000000000e+00;3,00E+18;3,00E+18;1,33E+18;0.000000000000000000e+00;0.000000000000000000e+00;nan;nan;nan;nan;4,75E+18;0.000000000000000000e+00;0.000000000000000000e+00;1,10E+19;8,80E+18;nan;3,00E+18;1,00E+18;nan;0.000000000000000000e+00;0.000000000000000000e+00;1,40E+18;0.000000000000000000e+00;2,00E+17;6,80E+18;2,00E+17
Monaco;0.000000000000000000e+00;nan;0.000000000000000000e+00;0.000000000000000000e+00;nan;nan;0.000000000000000000e+00;5,33E+18;nan;3,67E+18;1,00E+18;nan;5,00E+18;nan;0.000000000000000000e+00;5,00E+18;nan;3,00E+18;3,33E+18;0.000000000000000000e+00;5,00E+18;5,00E+18;6,00E+18;4,00E+18;7,00E+18;3,33E+17;1,67E+18;0.000000000000000000e+00;nan;nan;0.000000000000000000e+00;3,33E+17;0.000000000000000000e+00;nan;2,00E+18;0.000000000000000000e+00;nan;nan;3,50E+18;nan;nan;1,00E+18;2,67E+18;7,00E+18;2,67E+18;2,67E+18;0.000000000000000000e+00
Montenegro ;7,00E+18;nan;3,33E+17;nan;3,00E+18;3,00E+18;nan;9,67E+18;5,00E+18;5,00E+18;nan;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;3,33E+17;0.000000000000000000e+00;0.000000000000000000e+00;2,67E+18;0.000000000000000000e+00;2,50E+18;0.000000000000000000e+00;4,50E+18;1,50E+18;0.000000000000000000e+00;1,00E+19;0.000000000000000000e+00;0.000000000000000000e+00;nan;nan;nan;5,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;4,67E+18;nan;1,20E+19;nan;nan;8,00E+18;1,33E+18;0.000000000000000000e+00;nan;1,33E+18;2,00E+18;0.000000000000000000e+00
Netherlands ;2,50E+17;nan;8,50E+18;2,50E+18;6,00E+18;0.000000000000000000e+00;7,00E+18;3,44E+18;0.000000000000000000e+00;7,00E+17;1,33E+18;nan;4,00E+18;4,33E+18;1,67E+18;1,45E+18;1,00E+18;4,18E+18;5,11E+18;1,33E+18;2,86E+18;3,75E+17;2,22E+18;1,00E+18;1,80E+18;0.000000000000000000e+00;1,56E+18;0.000000000000000000e+00;nan;nan;nan;2,70E+18;6,67E+17;8,33E+17;7,78E+17;1,11E+18;nan;8,00E+18;7,00E+18;0.000000000000000000e+00;2,00E+18;1,45E+18;1,45E+18;2,25E+18;7,45E+18;2,00E+18;1,18E+18
Norway ;7,50E+17;nan;0.000000000000000000e+00;3,50E+18;5,00E+18;0.000000000000000000e+00;2,00E+18;5,33E+18;0.000000000000000000e+00;8,00E+17;6,67E+17;nan;8,57E+18;3,17E+18;3,50E+18;1,55E+18;0.000000000000000000e+00;1,55E+18;1,56E+18;3,33E+18;7,86E+18;3,00E+18;1,44E+18;3,29E+18;1,00E+18;0.000000000000000000e+00;3,22E+18;1,00E+18;nan;nan;2,17E+18;nan;6,67E+17;0.000000000000000000e+00;1,22E+18;2,56E+18;nan;8,00E+18;3,00E+18;0.000000000000000000e+00;1,20E+18;3,64E+17;7,45E+18;7,50E+17;3,55E+18;2,00E+18;8,18E+17
Poland ;0.000000000000000000e+00;nan;7,25E+18;1,00E+18;6,50E+18;7,00E+18;6,50E+18;1,00E+18;0.000000000000000000e+00;1,67E+18;8,00E+17;nan;3,33E+18;5,80E+18;2,80E+18;1,40E+18;2,50E+18;2,70E+18;2,11E+18;4,00E+18;1,00E+18;5,71E+17;3,13E+18;8,33E+17;1,60E+18;0.000000000000000000e+00;1,75E+18;3,50E+18;nan;nan;1,00E+18;4,22E+18;nan;0.000000000000000000e+00;2,25E+18;3,25E+18;nan;6,00E+18;2,50E+18;0.000000000000000000e+00;2,00E+18;2,00E+17;3,80E+18;2,00E+18;1,00E+18;1,03E+19;1,60E+18
Portugal ;0.000000000000000000e+00;nan;1,00E+18;5,00E+18;0.000000000000000000e+00;1,00E+18;3,50E+18;2,22E+17;6,00E+18;1,22E+18;1,40E+18;nan;2,83E+18;1,40E+18;1,20E+18;1,60E+18;5,00E+17;4,10E+18;1,44E+18;1,33E+18;3,17E+18;2,00E+18;3,13E+18;2,33E+18;8,00E+17;0.000000000000000000e+00;1,00E+18;8,75E+18;nan;nan;3,00E+18;2,00E+18;0.000000000000000000e+00;nan;4,00E+18;2,63E+18;nan;2,50E+18;3,50E+18;0.000000000000000000e+00;6,00E+17;6,40E+18;3,10E+18;1,67E+18;1,10E+18;8,43E+18;1,80E+18
Romania ;2,50E+17;nan;3,00E+18;0.000000000000000000e+00;3,00E+18;1,00E+18;1,60E+18;8,75E+17;5,00E+18;1,56E+18;2,67E+18;nan;1,17E+18;1,80E+18;1,14E+18;1,00E+18;0.000000000000000000e+00;1,20E+18;7,78E+18;5,67E+18;2,00E+18;2,00E+18;3,13E+18;2,86E+17;0.000000000000000000e+00;3,57E+18;1,50E+18;1,20E+19;nan;nan;0.000000000000000000e+00;1,63E+18;3,50E+18;0.000000000000000000e+00;nan;5,56E+18;nan;6,50E+18;7,00E+18;0.000000000000000000e+00;1,25E+18;1,50E+18;2,40E+18;6,00E+17;5,90E+18;2,29E+18;1,70E+18
Russia ;0.000000000000000000e+00;nan;9,75E+18;2,50E+17;8,50E+18;1,20E+19;2,50E+18;6,67E+17;4,00E+18;1,89E+18;2,40E+18;nan;1,71E+18;3,80E+18;1,33E+18;2,90E+18;7,00E+18;2,10E+18;3,56E+18;1,50E+18;8,33E+17;0.000000000000000000e+00;2,38E+18;2,13E+18;3,80E+18;1,17E+18;4,00E+18;5,00E+18;nan;nan;2,75E+18;3,50E+18;0.000000000000000000e+00;0.000000000000000000e+00;3,89E+18;nan;nan;4,50E+18;8,00E+18;nan;1,75E+18;8,00E+17;7,00E+17;3,00E+18;1,20E+18;7,14E+18;1,00E+18
San Marino;3,00E+18;nan;8,00E+18;nan;0.000000000000000000e+00;nan;nan;0.000000000000000000e+00;nan;0.000000000000000000e+00;nan;nan;2,00E+18;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1,20E+19;nan;0.000000000000000000e+00;nan;1,00E+19;0.000000000000000000e+00;nan;nan;nan;nan;nan;nan;nan;7,00E+18;0.000000000000000000e+00;5,00E+18;1,00E+18;0.000000000000000000e+00;nan;0.000000000000000000e+00;nan;nan;nan;0.000000000000000000e+00;0.000000000000000000e+00;nan;4,00E+18;0.000000000000000000e+00;6,00E+18
